,mode,count,acousticness,artists,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
69,1,2,0.40399999999999997,9tails,0.711,217182.0,0.545,0.0,0.122,-6.81,0.0322,108.02,0.345,66.0
70,1,18,0.218107778,? & The Mysterians,0.6323333329999999,146582.3333,0.670888889,0.17458427699999998,0.15198888900000002,-8.077222222,0.04218888900000001,111.30066670000001,0.8058888890000001,25.11111111
71,0,75,0.2533864,A Boogie Wit da Hoodie,0.730093333,200451.88,0.62684,1.62e-06,0.164902667,-7.0110533329999996,0.229846667,118.73386670000001,0.500733333,66.64
72,1,104,0.026354052000000003,A Day To Remember,0.402596154,207746.1538,0.9167307690000001,7.329999999999999e-05,0.285265385,-4.427519231000001,0.111317308,144.2214615,0.458826923,53.42307692
73,1,2,0.9470000000000001,A Fine Frenzy,0.5489999999999999,268800.0,0.24,0.0,0.106,-7.778,0.0338,119.58,0.16699999999999998,54.0
74,1,8,0.6258,A Great Big World,0.4695,243813.5,0.374625,0.000201443,0.113625,-8.29675,0.043625,119.454125,0.22725,59.125
75,1,2,0.8540000000000001,A Heart Beats,0.507,146173.0,0.255,0.0,0.172,-11.857000000000001,0.0651,97.23100000000001,0.43799999999999994,37.0
76,1,59,0.10908790800000001,A Perfect Circle,0.519525424,251080.3898,0.622520339,0.296638305,0.135864407,-9.76320339,0.055608475,124.4771017,0.256277966,49.47457627
77,1,6,0.1363,A R I Z O N A,0.6759999999999999,182859.6667,0.612666667,0.11673333300000001,0.1313,-8.663333332999999,0.060333332999999996,101.286,0.228,66.33333333
78,1,8,0.00121075,A Skylit Drive,0.25275,210366.75,0.9275,0.000350395,0.2539,-3.42325,0.094425,123.785,0.306,45.0
79,0,8,0.326025,A Taste Of Honey,0.75475,280870.0,0.53875,0.000627475,0.121125,-9.2815,0.057625,126.93325,0.7490000000000001,45.75
80,0,4,0.31425,A Touch Of Class,0.6755,181186.5,0.91725,0.033055,0.11875,-6.03175,0.030325,128.45600000000002,0.605,63.75
81,0,2,0.023,A Tribe Called Red,0.6579999999999999,219853.0,0.573,0.0613,0.0981,-5.4079999999999995,0.107,133.442,0.583,52.0
82,1,1,0.0889,A$AP ANT,0.9,236227.0,0.532,0.0,0.0533,-5.516,0.0744,140.023,0.5920000000000001,59.0
83,1,9,0.244255556,A$AP Mob,0.780666667,237664.6667,0.717888889,1.84e-06,0.158911111,-5.916666667,0.2586,129.4382222,0.491,59.22222222
84,1,96,0.19370240600000002,A$AP Rocky,0.671229167,219365.4271,0.66903125,0.015331933,0.209775,-6.87225,0.190591667,128.9268854,0.39188125,63.39583333
85,1,6,0.043089999999999996,A*Teens,0.7170000000000001,202773.6667,0.879,0.009303333,0.257433333,-5.705666667000001,0.036566667000000004,124.99666670000002,0.789,45.33333333
86,1,4,0.0209,A-Lusion,0.5105,338208.5,0.9185,0.174,0.1256,-4.0415,0.0407,150.0085,0.2395,0.0
87,0,5,0.009398,A-Trak,0.7048,287949.6,0.7302,0.1555734,0.17292000000000002,-3.6818,0.13292,131.1848,0.8042,56.6
88,1,22,0.899681818,A. M. Rajah,0.541772727,188202.0455,0.45807727299999995,0.291998749,0.23098636399999997,-10.32381818,0.112659091,131.5843182,0.8589090909999999,4.818181818
89,0,2,0.494,A.CHAL,0.7340000000000001,165214.0,0.47200000000000003,0.00293,0.102,-8.192,0.306,190.011,0.387,64.0
90,1,8,0.33555250000000003,A.R. Rahman,0.65225,360520.75,0.512875,8.3e-05,0.082875,-11.055,0.0536625,122.08775,0.5745,56.125
91,0,3,0.166633333,A7S,0.7426666670000001,168293.0,0.726,0.0,0.15466666699999998,-5.921333333,0.198,121.29633329999999,0.554666667,87.0
92,1,252,0.345721746,ABBA,0.5751666670000001,232053.7302,0.659585714,0.020649907,0.205304762,-8.492928571,0.03805,121.57620630000001,0.6679365079999999,43.25396825
93,1,18,0.231155556,ABC,0.687333333,231968.4444,0.788666667,0.022105362000000003,0.1832,-7.475555556000001,0.060633333,122.38611110000001,0.7748888890000001,42.44444444
94,0,8,0.160175,ABN,0.75725,300163.25,0.72525,0.0,0.22275,-6.952000000000001,0.19,137.1425,0.54975,42.0
95,1,1,0.0383,ABSRDST,0.6509999999999999,241711.0,0.7929999999999999,0.022000000000000002,0.17800000000000002,-5.287999999999999,0.0837,146.07,0.261,52.0
