genres,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count
"['dark wave', 'deathrock', 'gothic rock', 'horror punk']",45 Grave,0.016083825,0.4175,162716.75,0.79125,0.41150196,0.139525,-8.59175,0.066975,155.6615,0.64775,30.5,9,1,8
"['christian alternative rock', 'christian music', 'deep christian rock', 'worship']",4Him,0.282333333,0.476333333,290636.3333,0.487333333,0.001573783,0.111333333,-10.05633333,0.030133333,111.2396667,0.311666667,33.66666667,4,1,6
"['k-pop', 'k-pop girl group']",4Minute,0.00589,0.54,192400,0.929,4.01E-06,0.424,-2.646,0.278,176.023,0.624,61,7,1,2
"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",50 Cent,0.122386348,0.695039326,234964.0899,0.76238764,0.000548475,0.198361236,-4.149426966,0.259516292,105.929427,0.589769663,52.34269663,1,1,178
"['dirty south rap', 'pop rap', 'southern hip hop']",504 Boyz,0.01643,0.809,212434,0.624,0,0.2355,-8.81,0.2565,125.0315,0.532,47.5,11,1,4
['white noise'],520Hz,0.996,0,197680,0.0197,0.996,0.104,-47.19,0,0,0,57,1,1,2
"['dirty south rap', 'dirty texas rap', 'gangster rap', 'houston rap']",5th Ward Boyz,0.158,0.842,352173,0.336,0,0.256,-8.227,0.379,78.001,0.599,36,4,0,1
['miami bass'],69 Boyz,0.03269,0.851,256279.75,0.742,0,0.18345,-11.60925,0.22375,133.01425,0.6795,41.75,9,0,8
"['alternative r&b', 'atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'trap']",6LACK,0.266721304,0.637130435,220217.8913,0.520434783,0.001885923,0.122969565,-7.958130435,0.16056087,121.3756304,0.308895652,63.86956522,0,1,46
"['opm', 'pinoy rock']",6cyclemind,0.443,0.7175,295993,0.4735,0.00158574,0.131,-8.5365,0.03095,97.2875,0.47,57.5,3,1,4
['emo rap'],6ix9ine,0.112184615,0.733730769,156294.8462,0.697923077,4.61E-06,0.144330769,-5.134038462,0.240761538,123.0933846,0.455384615,69.30769231,1,1,26
"['grunge', 'riot grrrl']",7 Year Bitch,9.03E-06,0.349,167333,0.709,0.0095,0.147,-12.339,0.0336,114.581,0.708,41,9,0,2
"['girl group', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']",702,0.197222222,0.74,255970.2222,0.611222222,0.004330793,0.164422222,-8.151888889,0.065811111,99.07033333,0.59,52.11111111,10,1,9
"['acid house', 'big beat', 'chicago house', 'electronica', 'hardcore techno', 'hip house', 'intelligent dance music', 'madchester', 'rave', 'techno']",808 State,0.00857,0.5535,285153.5,0.8715,0.5855,0.1215,-8.0475,0.05975,128.4775,0.5025,42,8,1,4
"['canadian hip hop', 'melodic rap', 'rap', 'southern hip hop', 'toronto rap', 'trap', 'trap soul', 'underground hip hop', 'vapor trap']",88GLAM,0.0166,0.764,180813,0.672,1.06E-06,0.103,-4.274,0.0655,150.021,0.594,68,6,0,2
"['asian american hip hop', 'pop']",88rising,0.527466667,0.585,209444.6667,0.463166667,4.60E-05,0.21815,-9.008666667,0.091983333,109.5878333,0.385333333,69.83333333,1,1,6
"['crunk', 'dirty south rap', 'gangster rap', 'memphis hip hop', 'southern hip hop', 'trap']",8Ball,0.073376923,0.780538462,282367.3077,0.664384615,0.0006,0.242384615,-6.487769231,0.1845,122.0759231,0.539076923,42.53846154,1,1,13
['lo-fi beats'],90sFlav,0.952,0.748,126250,0.265,0.917,0.0866,-12.074,0.229,77.009,0.14,70,8,0,2
"['emo rap', 'melodic rap', 'sad rap']",916frosty,0.637,0.597,248803,0.559,0,0.137,-7.219,0.0835,145.826,0.268,66,1,0,2
"['dark trap', 'emo rap', 'glitchcore', 'sad rap']",93FEETOFSMOKE,0.139,0.816,148140,0.577,0,0.0827,-5.998,0.41,171.028,0.459,66,1,1,1
"['boy band', 'dance pop']",98,0.34703,0.61025,250582.6,0.581,3.55E-07,0.113165,-8.21425,0.041735,101.6388,0.42775,49,10,1,20
"['oi', 'pub rock', 'punk']",999,0.030186667,0.596,217075.3333,0.631,0.282667583,0.1723,-9.655333333,0.0489,132.0906667,0.514666667,33.66666667,2,1,6
